artist,count
Bad Bunny,29
The Weeknd,27
Kendrick Lamar,21
Harry Styles,18
Drake,18
Beyoncé,16
Post Malone,14
Future,11
Taylor Swift,8
Doja Cat,8
Labrinth,8
BTS,8
Eminem,7
Olivia Rodrigo,7
ROSALÍA,7
Ed Sheeran,7
Gunna,6
Imagine Dragons,6
Billie Eilish,6
Bruno Mars,6
Bizarrap,5
Jack Harlow,5
Calvin Harris,4
Daddy Yankee,4
Justin Bieber,4
Tiësto,4
Arctic Monkeys,4
Rauw Alejandro,4
Lil Nas X,4
Machine Gun Kelly,4
Shawn Mendes,4
XXXTENTACION,4
Nicki Minaj,3
Tate McRae,3
Mora,3
Juice WRLD,3
Måneskin,3
Duki,3
The Chainsmokers,3
Zé Felipe,3
Adele,3
Charlie Puth,3
Morgan Wallen,3
The Neighbourhood,3
Tiago PZK,3
J Balvin,3
TINI,3
Pharrell Williams,3
Dua Lipa,3
Kanye West,3
Steve Lacy,2
Dr. Dre,2
Paulo Londra,2
Joji,2
Lewis Capaldi,2
OneRepublic,2
Tyler,2
Lizzo,2
Jessica Darrow,2
Avicii,2
The Kid LAROI,2
Polimá Westcoast,2
Polo G,2
Feid,2
Lauren Spencer Smith,2
Maroon 5,2
NewJeans,2
Fivio Foreign,2
Anitta,2
Stephanie Beatriz,2
Lady Gaga,2
Camila Cabello,2
Coldplay,2
Nirvana,2
Marília Mendonça,2
Brent Faiyaz,2
Ryan Castro,2
IVE,2
Sebastian Yatra,2
Lana Del Rey,2
BoyWithUke,2
CKay,2
Marshmello,2
j-hope,2
Sleepy Hallow,2
Riton,1
PSY,1
Gusttavo Lima,1
Diane Guerrero,1
Jovem Dionisio,1
George Henrique & Rodrigo,1
Oliver Tree,1
Jax Jones,1
The Goo Goo Dolls,1
Luciano,1
Victor Cibrian,1
TWICE,1
Red Velvet,1
Morat,1
LE SSERAFIM,1
Leah Kate,1
John Legend,1
Matheus Fernandes,1
Kevin Kaarl,1
Foo Fighters,1
Jason Derulo,1
Yahritza Y Su Esencia,1
NIKI,1
Baby Keem,1
Trueno,1
Boza,1
Alesso,1
Playboi Carti,1
Fireboy DML,1
DJ Matt D,1
Maluma,1
Giveon,1
Travis Scott,1
Nio Garcia,1
Kep1er,1
Duncan Laurence,1
Stromae,1
Mari Fernandez,1
Edison Lighthouse,1
Joel Corry,1
Jhay Cortez,1
Masked Wolf,1
Glass Animals,1
Jessi,1
Mac Miller,1
King Von,1
La rappresentante di lista,1
ENHYPEN,1
Rkomi,1
sangiovanni,1
DJ Robin,1
MC Tairon,1
Sofía Reyes,1
thasup,1
Nessa Barrett,1
Jung Kook,1
SiM,1
